id,text,question,options,answer,combo_key
7127,"Interpol Wang returned to the Bureau after investigating a murder scene. The guard Lao Zhang asked him what the result was. Wang said he knew that the murderer had been to the scene. Lao Zhang knew that Interpol Wang was teasing him, because he didn't need Wang to tell him at all. He knew that if someone was a murderer, he must be at the scene at the time of the crime.","According to the answer, which of the following can be inferred?","0. ""If Zhang San was at the scene of the crime, he was a murderer."", 1. ""If Li Si was not a murderer, he would not be at the scene at the time of the crime."", 2. ""If Wang Wu was not at the scene of the crime, he would not be a murderer."", 3. ""Even if Xu Liu is not at the crime scene, he may be a murderer.""",2,Sufficient Conditional Reasoning
2517,"Logicians say: if two plus two equals five, then the earth is square.",Which of the following is the same truth as the logicians say?,"0. ""If the earth is square, then 2 plus 2 equals 5"", 1. ""If the earth is round, then 2 plus 2 does not equal 5"", 2. ""2 plus 2 does not equal 5 or the earth is square"", 3. ""2 plus 2 equals 5 or the earth is square""",1,Sufficient Conditional Reasoning
3344,The so-called memory representation refers to the image of things perceived by people in the human brain.,Which of the following activities is designed for memory content that does not belong to memory representation?,"0. ""Tom still remembers her eating Quanjude roast duck in China."", 1. ""Lao Li often recalls the hard life of his childhood."", 2. ""The beautiful sound of the piano echoed in her ears."", 3. ""Xiao Hong can recite the multiplication formula skillfully.""",3,Sufficient Conditional Reasoning
3329,A stereotype is a fixed view of a certain group or thing in society formed through direct or indirect experience.,"According to the above definition, which of the following is not stereotype?","0. ""A businessman is a mercenary"", 1. ""The entertainment industry is a mess"", 2. ""Northerners are generous"", 3. ""Stillness is relative""",3,Sufficient Conditional Reasoning
7922,"The baby has built up a certain model of the outside world in his mind, a certain view of the outside world. If the model fits the outside world, they are satisfied; If it is not, that is, the desired result does not occur, they feel dissatisfied.","According to the text, if a baby smiles at a familiar face, what does it mean?","0. ""He liked the man"", 1. ""It was a friendly face"", 2. ""He wanted to consolidate a model in his mind."", 3. ""The face corresponded to some expectation in his mind""",3,Sufficient Conditional Reasoning
4049,Documentary evidence refers to evidence that corroborates the facts of a case by recording the content or expressing ideas.,"According to the above definition, which of the following options is a documentary evidence?","0. ""The murderer hit the victim in the head with a thick dictionary"", 1. ""The hospital designated by the judicial organ presents a light injury assessment"", 2. ""The deceased wrote an abbreviation of the killer's name on the ground with blood on his deathbed"", 3. ""A diary left by the victim at the scene of the accident""",1,Sufficient Conditional Reasoning
14541,Over the past few decades dozens of people have claimed to have sighted the Yeti in the Himalayas. This provides strong evidence that the creature exists.,The reasoning in the argument is questionable because the argument fails to,"0. ""account for why most people still do not believe in the Yeti"", 1. ""consider the absence of photographs of the Yeti"", 2. ""evaluate historical evidence for the existence of the Yeti"", 3. ""consider alternative explanations for the reported sightings""",3,Necessry Condtional Reasoning
10597,"Carolyn: The artist Marc Quinn has displayed, behind a glass plate, biologically replicated fragments of Sir John Sulston' s DNA, calling it a conceptual portrait of Sulston. But to be a portrait, something must bear a recognizable resemblance to its subject. Arnold: I disagree. Quinn' s conceptual portrait is a maximally realistic portrait, for it holds actual instructions according to which Sulston was created.",The dialogue provides most support for the claim that Carolyn and Arnold disagree over whether the object described by Quinn as a conceptual portrait of Sir John Sulston,"0. ""should be considered to be art"", 1. ""bears a recognizable resemblance to Sulston"", 2. ""is actually a portrait of Sulston"", 3. ""contains instructions according to which Sulston was created""",2,Necessry Condtional Reasoning
13349,"Commentator: The Duke of Acredia argued long ago that only virtuous Acredian rulers concerned with the well-being of the people will be able to rule successfully. Since then, when Acredian governments have fallen, their falls have always been during the rule of one who viciously disregards the people' s needs. The Duke, then, was right about at least one thing: Concern for the welfare of the people is necessary for the successful governance of Acredia.",The reasoning in the commentator's argument is most vulnerable to criticism on the grounds that the argument,"0. ""infers that a certain condition is required for success from the fact that the lack of that condition is associated with failure"", 1. ""ignores the possibility that the conditions that are necessary for the welfare of the people are likely to change over time"", 2. ""appeals to evidence from sources that are likely to be in some way biased or unreliable"", 3. ""infers the necessity of a certain condition for success from the fact that its absence has always led to failure""",0,Necessry Condtional Reasoning
13228,"To use the pool at City Gym, one must have a membership there. Sarah has a membership at City Gym. She must ttherefore use the pool there at least occasionally.",The reasoning in the argument is flawed in that the argument,"0. ""mistakes a policy that is strictly enforced for a policy to which exceptions are made"", 1. ""presumes that one or the other of two alternatives must be the case without establishing that no other alternative is possible"", 2. ""treats a statement whose truth is required for the conclusion to be true as though it were a statement whose truth ensures that the conclusion is true"", 3. ""concludes that a person has a certain attribute simply because that person belongs to a group most of whose members have that attribute""",2,Necessry Condtional Reasoning
11647,A successful chess-playing computer would prove either that a machine can think or that chess does not involve thinking. In either case the conception of human intelligence would certainly change.,The reasoning above is most vulnerable to criticism on the grounds that it does not consider the possibility that,"0. ""the conception of intelligence is inextricably linked to that of thought"", 1. ""the inability to play chess has more to do with lack of opportunity than with lack of intelligence"", 2. ""computer programs have been successfully applied to games other than chess"", 3. ""a successful chess-playing computer would not model a human approach to chess playing""",3,Necessry Condtional Reasoning
14968,"Climatologists believe they know why Earth has undergone a regular sequence of ice ages beginning around 800, 000 years ago. Calculations show that Earth' s orbit around the Sun has fluctuations that coincide with the ice-age cycles. The climatologists hypothesize that when the fluctuations occur, Earth passes through clouds of cosmic dust that enters the atmosphere; the cosmic dust thereby dims the Sun, resulting in an ice age. They concede, however, that though cosmic dust clouds are common, the clouds would have to be particularly dense in order to have this effect.","Each of the following, if true, would lend support to the climatologists' hypothesis EXCEPT:","0. ""Large bits of cosmic rock periodically enter Earth's atmosphere, raising large amounts of dust from Earth's surface."", 1. ""Earth's average temperature drops slightly shortly after volcanic eruptions spew large amounts of dust into Earth's atmosphere."", 2. ""Earth did not pass through clouds of cosmic dust earlier than 800, 000 years ago."", 3. ""Two large asteroids collided 800, 000 years ago, producing a tremendous amount of dense cosmic dust that continues to orbit the Sun.""",0,Necessry Condtional Reasoning
13288,In the past year Harborville has had an unusually high rate of new cases of a certain disease. An investigation revealed that over the past five years Harborville' s public water supply has had a high level of pollutants. Medical researchers have hypothesized that Harborville' s water is responsible for the high rate of new cases of the disease.,"Each of the following, if true, provides additional support for the researchers' hypothesis EXCEPT:","0. ""The rate of new cases of the disease among residents of Harborville who get their water from private sources is not unusually high."", 1. ""The same type of pollutants that were found in Harborville's water have independently been linked to occurrences in other towns of high rates of the disease."", 2. ""Most of the people afflicted with new cases of the disease had regularly drunk larger quantities of Harborville's water than had other Harborville residents."", 3. ""Some of the people with newly diagnosed cases of the disease began to develop the disease before Harborville's water became polluted.""",3,Necessry Condtional Reasoning
12010,"Jenkins maintains that the movie Firepower was not intended to provoke antisocial behavior, arguing that, on the contrary, it is in the interest of Firepower' s director to prevent such behavior. Yet Jenkins' s conclusion must be rejected, because the movie has clearly produced antisocial behavior among many of those who have seen it.",The reasoning in the argument is flawed in that it,"0. ""concludes from the mere fact that an action had a certain effect that the effect was intended by the person who performed the action"", 1. ""rejects an argument on the grounds that it was offered by a person who was biased"", 2. ""infers that something is true of a whole solely on the grounds that it is true of a part of the whole"", 3. ""overlooks the possibility that people can act in a way that is contrary to their expressed interest""",0,Necessry Condtional Reasoning
12821,"A law that is not consistently enforced does not serve its purpose. Law without enforcement is not law; it is merely statute -- a promise of law. To institute real law is not merely to declare that such and such behavior is forbidden; it is also to punish those who violate that edict. Furthermore, those who enforce law must punish without favor for their friends or malice for their enemies. To punish only those one dislikes while forgiving others is not to enforce law but to engage in the arbitrary and unjust exercise of power.",The main point of the passage is that instituting real law consists in,"0. ""the exercise of power"", 1. ""understanding the purpose of law"", 2. ""clearly defining unacceptable behavior"", 3. ""the unbiased punishment of prohibited behavior""",3,Conjunctive Reasoning
12724,"Consumers are deeply concerned about the quantity of plastic packaging on the market and have spurred manufacturers to find ways to recycle plastic materials. Despite their efforts, however, only 6. 5 percent of plastic is now being recycled, as compared to 33 percent of container glass.","Each of the following, if true, helps to explain the relatively low rate of plastic recycling EXCEPT:","0. ""Many factories are set up to accept and make economical use of recycled glass, whereas there are few factories that make products out of recycled plastic."", 1. ""Plastic polymers tend to break down during the recycling process and weaken the resulting product, whereas glass does not break down."", 2. ""Many plastic products are incompatible and cannot be recycled together, whereas most containers made of glass are compatible."", 3. ""The manufacture of new plastic depletes oil reserves, whereas the manufacture of new glass uses renewable resources.""",3,Conjunctive Reasoning
327,"Everything should have a limit, just like cooking, when the fire is small, it will not be well-cooked; when the fire is over, it will burn; only when it is moderate, you can have a delicious meal. But this limit is not a kind of eclecticism, different things has also have different limits.",So this indicates?,"0. ""Only by knowing the limits of things, can they be done well"", 1. ""The result of eclecticism is certainly not the limit we are looking for"", 2. ""The limit of things is impossible to know and cannot be measured"", 3. ""Eclecticism also makes sense to a certain degree""",0,Conjunctive Reasoning
12822,"Neither a rising standard of living nor balanced trade, by itself, establishes a country's ability to compete in the international marketplace. Both are required simultaneously since standards of living can rise because of growing trade deficits and trade can be balanced by means of a decline in a country's standard of living.","If the facts stated in the passage above are true, a proper test of a country's ability to be competitive is its ability to","0. ""balance its trade while its standard of living falls"", 1. ""increase trade deficits while its standard of living rises"", 2. ""decrease trade deficits while its standard of living falls"", 3. ""balance its trade while its standard of living rises""",3,Conjunctive Reasoning
7535,Insurance reserve: refers to the reserve of raw materials established by enterprises in case of delayed delivery of raw materials or unplanned increase in demand.,What are the following insurance reserves?,"0. ""Aunt Zhang usually used to buy more grain, oil and salt at home, in case something happened to get away to buy"", 1. ""The factory director looked at the warehouse full of unsalable products, a sad face, the heart of the plan to vigorously expand sales channels"", 2. ""Road traffic was seriously threatened by the flood, but Director Liu was not in a hurry because raw materials had already been prepared for the flood season"", 3. ""Manager Wang collected debts everywhere before the year, gave employees year-end bonuses, but also ready to start the next year's funds""",2,Conjunctive Reasoning
5714,"A traveler wants to go to the railway station. In the morning, he starts from the hotel and arrives at an intersection. The intersection leads to four directions: Southeast and northwest. There are hotels, hotels, bookstores and railway stations in the four directions. The bookshop is in the northeast of the hotel and the hotel is in the northwest of the railway station.",The traveler is going to the railway station. Which directions should he go?,"0. ""East"", 1. ""South"", 2. ""West"", 3. ""North""",1,Conjunctive Reasoning
3612,"A bag of incense money was lost in the monastery. The abbot found three young monks, A, B and C, to inquire. The three men stated one by one, and A said, I didn't steal it. B said, A stole it. C said, I didn't steal it. D, who was on the side, learned the truth and commented, only one of you stole it, and only one of you was right.",Which one of them stole the incense money?,"0. ""B"", 1. ""C"", 2. ""None of them stole it"", 3. ""A""",1,Conjunctive Reasoning
11527,"Addictionhas been defined as dependence on and abuse of a psychoactive substance.  Dependence and abuse do not always go hand in hand, however. For example, cancer patients can become dependent on morphine to relieve their pain, but this is not abusing the drug. Correspondingly, a person can abuse a drug without being dependent on it. Ttherefore, the definition of addiction is incorrect.",The relevance of the example of cancer patients to the argument depends on the assumption that,"0. ""cancer patients often become dependent on morphine"", 1. ""cancer patients who are dependent on morphine are addicted to it"", 2. ""cancer patients never abuse morphine"", 3. ""cancer patients who abuse a drug are dependent on it""",1,Conjunctive Reasoning
50,"For a certain type of ulcer, traditional therapy can completely heal 44% of patients' ulcers within 6 months. A new therapy for this type of ulcer has achieved obvious improves in 80% of the ulcers treated in a 6-month trial. 61% of ulcers were healed. Since the trial only treated those ulcers very severe, this new treatment is obviously more effective than traditional treatments.","In order to better compare the effects of the two therapies, is there any additional evidence that needs to be added?","0. ""What is the difference between the methods used in the two therapies?"", 1. ""Is there a big difference in the cost of the two therapies?"", 2. ""What is the proportion of patients with this type of ulcer, treated under traditional therapies in 6 months, who have achieved significant improvement?"", 3. ""Among the patients who participated in the 6-month trial of the new therapy, what percentage of the people were dissatisfied with the recovery rate?""",2,"Categorical Reasoning, Sufficient Conditional Reasoning"
10532,"A former vice president of the Shanxi vinegar industry association said that only 5% of the Shanxi aged vinegar sold on the market is the real Shanxi aged vinegar without additives. A vice president of the China seasoning Association said in an interview with reporters on the incident: as long as additives are added according to national standards, there is no safety problem. Some enterprises emphasize that they do not add additives, which is unfair to enterprises that add additives according to normal standards. ",Which of the following statements can be logically derived from the words of the vice president of the seasoning association?,"0. ""In order to ensure fairness, enterprises should not produce products that are higher than the national standards, or keep secret the fact that the quality of the products is higher than the national standards"", 1. ""If we want to promote the technological innovation of the industry, we should raise the national standards of the industry"", 2. ""The national standard of an industry is too high, which is not conducive to the healthy development of the industry"", 3. ""If additives are not added according to national standards, there will be safety problems""",2,"Categorical Reasoning, Sufficient Conditional Reasoning"
13845,"In marketing their products, drug companies often send gifts to physicians. According to a recent survey, most physicians believe that their own choices when prescribing drugs are not influenced by drug companies' gifts. The same survey indicates that the majority of physicians believe that most other physicians' prescription choices are influenced by such gifts.","If the survey results are accurate, which one of the following must be true?","0. ""Physicians who do not accept gifts from drug companies are less likely to prescribe unnecessary drugs than those who do accept such gifts."", 1. ""All physicians who admit that their own choices when prescribing drugs are influenced by drug companies' gifts believe that most other physicians' prescription choices are also influenced by such gifts."", 2. ""Most physicians believe that drug companies should adopt new guidelines that regulate their practices in sending gifts to physicians."", 3. ""Some physicians are mistaken either about the degree to which they are influenced by gifts from drug companies or about the degree to which such gifts influence other physicians.""",3,"Categorical Reasoning, Sufficient Conditional Reasoning"
11168,"The energy an animal must expend to move uphill is proportional to its body weight, whereas the animal' s energy output available to perform this task is proportional to its surface area. This is the reason that small animals, like squirrels, can run up a tree trunk almost as fast as they can move on level ground, whereas large animals tend to slow down when they are moving uphill.",Which one of the following is an assumption on which the explanation above depends?,"0. ""The amount of energy needed to run at a given speed is proportional to the surface area of the running animal."", 1. ""The ratio of surface area to body weight is smaller in large animals than it is in small animals."", 2. ""Small animals can move more rapidly than large animals can."", 3. ""There is little variation in the ratio of energy output to body weight among animals.""",1,"Categorical Reasoning, Sufficient Conditional Reasoning"
10558,"Philosopher: In the 18th century, a paper on the absolutism of motion asserted that the change in position of one object over time could be measured without reference to the position of any other object. However, one respected physicist claimed that the paper was incoherent. Since an incoherent treatise cannot be considered a description of reality, motion cannot be absolute.",Which of the following methods or techniques does the philosopher use in his argument?,"0. ""Use technical terms to convince others."", 1. ""Relying on the authority of an expert to support a premise."", 2. ""Reasonable when using experimental results to illustrate the mentioned position changes."", 3. ""Observing that something is certain under experimental conditions, it follows that it is the same under any conditions.""",1,"Categorical Reasoning, Sufficient Conditional Reasoning"
13434,"Armstrong: For the treatment of a particular disease, Dr. Sullivan argues for using nutritional supplements rather than the pharmaceuticals that most doctors prescribe. But this is in his self-interest since he is paid to endorse a line of nutritional supplements. Thus, we should not use nutritional supplements in treating the disease.",Armstrong's argument is flawed in that it,"0. ""relies solely on an appeal to an authority whose trustworthiness should not necessarily be taken for granted"", 1. ""appeals to people's emotions regarding the treatment of disease rather than to the efficacy of the two approaches to treatment"", 2. ""criticizes Dr. Sullivan's motives for holding a position rather than addressing the position itself"", 3. ""fails to justify its presumption that nutritional supplements cannot be used in conjunction with other treatments""",2,"Categorical Reasoning, Sufficient Conditional Reasoning"
74,"The Marriage Law stipulates that any divorce is permitted if both parties voluntarily divorce. In a marriage case, only one party is willing to divorce.","Therefore, the court's sentence should be.","0. ""Can't judge divorce"", 1. ""Not sure to judge divorce"", 2. ""Make the sentence after mutual agreement"", 3. ""Divorce should be judged""",1,"Categorical Reasoning, Sufficient Conditional Reasoning"
10925,"Researchers have found that when very overweight people, who tend to have relatively low metabolic rates, lose weight primarily through dieting, their metabolisms generally remain unchanged. They will thus burn significantly fewer calories at the new weight than do people whose weight is normally at that level. Such newly thin persons will, ttherefore, ultimately regain weight until their body size again matches their metabolic rate.",The conclusion of the argument above depends on which of the following assumptions?,"0. ""The amount of calories that a person usually burns in a day is determined more by the amount that is consumed that day than by the current weight of the individual."", 1. ""The metabolisms of people who are usually not overweight are much more able to vary than the metabolisms of people who have been very overweight."", 2. ""Researchers have not yet determined whether the metabolic rates of formerly very overweight individuals can be accelerated by means of chemical agents."", 3. ""Relatively few very overweight people who have dieted down to a new weight tend to continue to consume substantially fewer calories than do people whose normal weight is at that level.""",3,"Categorical Reasoning, Sufficient Conditional Reasoning"
11053,"Morris High School has introduced a policy designed to improve the working conditions of its new teachers. As a result of this policy, only one-quarter of all part-time teachers now quit during their first year. However, a third of all full-time teachers now quit during their first year. Thus, more full-time than part-time teachers at Morris now quit during their first year.",The argument's reasoning is questionable because the argument fails to rule out the possibility that,"0. ""Morris High School employs more new part-time teachers than new full-time teachers"", 1. ""Morris High School employs more new full-time teachers than new part-time teachers"", 2. ""before the new policy was instituted, the same number of full-time teachers as part-time teachers at Morris High School used to quit during their first year"", 3. ""Morris High School employs the same number of new part-time as new full-time teachers""",0,"Categorical Reasoning, Necessry Condtional Reasoning"
12662,"Extinction is inevitable for all biological species. In fact, the vast majority of all species that have ever lived are now extinct. Since all species die out eventually, there is no justification for trying to protect species that are presently endangered, even those that can be saved from extinction now.",The reasoning in the argument above is most closely paralleled by the argument that there is no reason to,"0. ""spend money on preventive maintenance of a car because no car can last indefinitely"", 1. ""look for a book in the library because it is sometimes checked out"", 2. ""take a route that will avoid the normal traffic jams because traffic jams can occur along any route"", 3. ""plant a flower garden in soil that is not beneficial to plants because the plants are likely to die in such soil""",0,"Categorical Reasoning, Necessry Condtional Reasoning"
12768,"Pundit: Clearly, the two major political parties in this city have become sharply divided on the issues. In the last four elections, for example, the parties were separated by less than 1 percent of the vote.",The reasoning in the argument is most vulnerable to criticism on the grounds that the argument,"0. ""presumes, without argument, that sharp division is a bad thing"", 1. ""takes for granted that an almost even division in votes indicates a sharp division on issues"", 2. ""fails to indicate how what is happening in one city compares with what is happening in other cities"", 3. ""has a conclusion that is merely a restatement of one of its premises""",1,"Categorical Reasoning, Necessry Condtional Reasoning"
11014,"Public health expert: Until recently people believed that applications of biochemical research would eventually achieve complete victory over the microorganisms that cause human disease. However, current medical research shows that those microorganisms reproduce so rapidly that medicines developed for killing one variety will only spur the evolution of other varieties that are immune to those medicines. The most rational public health strategy, ttherefore, would place much more emphasis than at present on fully informing people about the transmission of diseases caused by microorganisms, with a view to minimizing the incidence of such diseases.","Of the following, which one most accurately expresses the conclusion drawn by the public health expert?","0. ""A patient who contracts a disease caused by microorganisms cannot be effectively cured by present methods."", 1. ""A medicine that kills one variety of disease- causing microorganism can cause the evolution of a drug-resistant variety."", 2. ""No one who is fully informed about the diseases caused by microorganisms will ever fall victim to those diseases."", 3. ""There is good reason to make a particular change to public health policy.""",3,"Categorical Reasoning, Necessry Condtional Reasoning"
14656,"Ana: On libertarian principles, I oppose the proposed smoking ban. It is not the government' s business to prevent people from doing things that harm only themselves. Pankaj: But keep in mind that the ban would apply only to smoking in public places. People could still smoke all they want in private.",The dialogue provides the most support for the claim that Ana and Pankaj disagree over whether,"0. ""government should be restrained by libertarian principles"", 1. ""the proposed smoking ban is intended to prevent harm only to smokers themselves"", 2. ""the proposed ban would prohibit smoking in public places"", 3. ""there are cases in which government should attempt to regulate private behavior""",1,"Categorical Reasoning, Necessry Condtional Reasoning"
13809,The proportion of fat calories in the diets of people who read the nutrition labels on food products is significantly lower than it is in the diets of people who do not read nutrition labels. This shows that reading these labels promotes healthful dietary behavior.,The reasoning in the argument above is flawed in that the argument,"0. ""illicitly infers a cause from a correlation"", 1. ""relies on a sample that is unlikely to be representative of the group as a whole"", 2. ""confuses a condition that is necessary for a phenomenon to occur with a condition that is sufficient for that phenomenon to occur"", 3. ""draws a conclusion about the intentions of a group of people based solely on data about the consequences of their behavior""",0,"Categorical Reasoning, Necessry Condtional Reasoning"
11860,"Several companies that make herbal teas containing ginseng assert in their marketing that ginseng counteracts the effects of stress. As a result, many people buy these products hoping to improve their health. Yet no definitive scientific study links ginseng with the relief of stress. Thus, these marketing campaigns make false claims.",The reasoning in the argument is flawed in that the argument,"0. ""concludes that a claim is false merely on the grounds that it has not been shown to be true"", 1. ""fails to address the possibility that some ingredients other than ginseng in the herbal teas containing ginseng counteract the effects of stress"", 2. ""rejects an argument because of its source without evaluating the argument's logical strength"", 3. ""fails to address the possibility that many people buy herbal teas containing ginseng because they enjoy drinking the tea""",0,"Categorical Reasoning, Necessry Condtional Reasoning"
14411,"A good way to get over one' s fear of an activity one finds terrifying is to do it repeatedly. For instance, over half of people who have parachuted only once report being extremely frightened by the experience, while less than 1 percent of those who have parachuted ten times or more report being frightened by it.",The reasoning in the argument is most vulnerable to criticism on the grounds that the argument,"0. ""neglects to consider those people who have parachuted more than once but fewer than ten times"", 1. ""takes for granted that the greater the number of dangerous activities one engages in the less one is frightened by any one of them"", 2. ""takes for granted that people do not know how frightening something is unless they have tried it"", 3. ""overlooks the possibility that most people who have parachuted many times did not find it frightening initially""",3,"Categorical Reasoning, Necessry Condtional Reasoning"
7276,"Zhao section chief and Qian section chief's ability is stronger than sun section chief, Li section chief's ability is inferior to sun section chief and Sun section chief's ability.","If the ability of director sun is not as good as that of director Zhou, which of the options is the worst?","0. ""Section Chief Zhao."", 1. ""Section Chief Li."", 2. ""Section Chief Zhou."", 3. ""Section Chief Sun.""",1,"Categorical Reasoning, Conjunctive Reasoning"
5879,"There is a multiple-choice paper with 6 questions, and the scoring standard is: 8 points for a correct answer, 0 points for a wrong answer, and 2 points for no answer.","If a classmate scored 20 points, he?","0. ""Get at least one question right"", 1. ""There are at least three questions left unanswered"", 2. ""Answer at least three short questions correctly"", 3. ""Answer two questions wrong""",3,"Categorical Reasoning, Conjunctive Reasoning"
4903,"China's 20 million families make a living by producing silk, and the export volume accounts for three quarters of the world market. However, in recent years, the silk industry has faced export difficulties: the image of silk has declined, the export volume has decreased, and some Asian competitors have met. Some countries have also implemented quotas on silk import, which is undoubtedly a blow to China's silk industry.",This shows that:,"0. ""At present, China has not imported silk"", 1. ""At present, China's silk export volume is decreasing year by year"", 2. ""The silk industry in some other countries has made great progress"", 3. ""At present, China's silk export volume is no longer the first in the world""",2,"Categorical Reasoning, Conjunctive Reasoning"
312,The reason why river and ocean can become the king of all creeks is because they can be under a hundred creeks. The reason why the saint is above the people is because he is humble to the people. The reason why the saint can lead the people is because he puts his own self-interest behind the people.,escape,"0. ""escape"", 1. ""escape"", 2. ""escape"", 3. ""escape""",1,"Categorical Reasoning, Conjunctive Reasoning"
